close,high,low,open,volume,baseVolume,conversionType,conversionSymbol,datetime
6305.12,6426.52,6239.34,6410.44,9061.28,57230360.58,force_direct,,2020-04-01 00:00:00
6293.64,6327.93,6285.25,6305.12,2275.17,14333123.48,force_direct,,2020-04-01 01:00:00
6317.4,6320.49,6287.6,6293.64,1805.2,11386910.04,force_direct,,2020-04-01 02:00:00
6368.68,6381.7,6310.89,6317.4,2948.57,18720306.26,force_direct,,2020-04-01 03:00:00
6342.0,6376.28,6333.06,6368.68,1834.46,11652161.4,force_direct,,2020-04-01 04:00:00
6304.46,6346.99,6288.23,6342.0,2019.88,12755937.85,force_direct,,2020-04-01 05:00:00
6299.79,6322.0,6271.14,6304.46,3532.85,22254484.31,force_direct,,2020-04-01 06:00:00
6331.96,6337.96,6287.03,6299.79,2211.29,13970065.9,force_direct,,2020-04-01 07:00:00
6306.69,6331.96,6285.0,6331.96,2200.56,13872549.35,force_direct,,2020-04-01 08:00:00
6300.0,6314.3,6257.32,6306.69,2730.94,17170124.74,force_direct,,2020-04-01 09:00:00
6291.71,6320.1,6286.58,6300.0,2061.05,12987515.94,force_direct,,2020-04-01 10:00:00
6296.87,6306.09,6269.99,6291.71,2152.68,13535071.49,force_direct,,2020-04-01 11:00:00
6219.29,6340.81,6210.93,6296.87,6114.42,38208428.63,force_direct,,2020-04-01 12:00:00
6206.39,6239.89,6170.0,6219.29,4265.08,26480908.73,force_direct,,2020-04-01 13:00:00
6251.13,6260.73,6199.0,6206.39,3685.06,22980081.89,force_direct,,2020-04-01 14:00:00
6230.09,6258.43,6215.01,6251.13,2774.81,17304376.94,force_direct,,2020-04-01 15:00:00
6182.38,6230.09,6150.11,6230.09,4617.68,28567855.41,force_direct,,2020-04-01 16:00:00
6194.57,6212.0,6165.07,6182.38,2414.86,14954125.29,force_direct,,2020-04-01 17:00:00
6186.86,6220.0,6184.32,6194.57,1801.09,11169927.83,force_direct,,2020-04-01 18:00:00
6200.81,6212.96,6164.28,6186.86,2408.94,14911743.43,force_direct,,2020-04-01 19:00:00
6337.0,6380.0,6193.1,6200.81,6818.83,42943391.47,force_direct,,2020-04-01 20:00:00
6354.0,6400.0,6332.6,6337.0,4350.74,27707253.72,force_direct,,2020-04-01 21:00:00
6520.75,6594.97,6352.52,6354.0,12176.84,79178804.71,force_direct,,2020-04-01 22:00:00
6642.92,6679.94,6500.0,6520.75,11238.43,74251959.43,force_direct,,2020-04-01 23:00:00
6617.76,6744.0,6580.0,6642.92,9703.86,64594191.42,force_direct,,2020-04-02 00:00:00
6566.08,6639.23,6551.0,6617.76,4225.67,27924476.24,force_direct,,2020-04-02 01:00:00
6604.93,6617.48,6563.96,6566.08,2907.4,19173527.38,force_direct,,2020-04-02 02:00:00
6606.05,6616.26,6572.3,6604.93,2076.17,13690798.81,force_direct,,2020-04-02 03:00:00
6597.54,6638.0,6590.01,6606.05,2436.26,16117757.87,force_direct,,2020-04-02 04:00:00
6607.41,6607.77,6565.0,6597.54,2059.01,13565076.14,force_direct,,2020-04-02 05:00:00
6639.65,6646.79,6588.55,6607.41,2436.91,16122797.97,force_direct,,2020-04-02 06:00:00
6644.0,6679.79,6609.14,6639.65,3543.17,23550076.76,force_direct,,2020-04-02 07:00:00
6650.5,6666.0,6602.58,6644.0,3043.7,20193760.87,force_direct,,2020-04-02 08:00:00
6638.71,6657.06,6626.56,6650.5,1678.54,11146235.45,force_direct,,2020-04-02 09:00:00
6649.98,6720.0,6610.0,6638.71,4428.93,29469722.29,force_direct,,2020-04-02 10:00:00
6690.6,6700.0,6608.0,6649.98,3983.57,26547196.07,force_direct,,2020-04-02 11:00:00
6656.76,6720.11,6633.0,6690.6,5814.44,38833789.98,force_direct,,2020-04-02 12:00:00
6643.49,6675.0,6620.34,6656.76,4097.36,27226436.22,force_direct,,2020-04-02 13:00:00
6775.1,6819.96,6637.4,6643.49,9296.72,62676806.46,force_direct,,2020-04-02 14:00:00
6805.0,6831.59,6722.44,6775.1,6248.89,42340576.33,force_direct,,2020-04-02 15:00:00
6916.62,6920.0,6789.28,6805.0,11528.78,79236024.47,force_direct,,2020-04-02 16:00:00
7083.96,7198.0,6916.38,6916.62,22728.05,160929075.91,force_direct,,2020-04-02 17:00:00
6788.63,7090.0,6729.13,7083.96,19352.75,133181290.35,force_direct,,2020-04-02 18:00:00
6803.25,6872.35,6723.0,6788.63,8536.59,58079783.65,force_direct,,2020-04-02 19:00:00
6739.44,6804.77,6651.0,6803.25,7347.83,49445058.7,force_direct,,2020-04-02 20:00:00
6829.53,6849.0,6709.66,6739.44,4332.22,29437528.67,force_direct,,2020-04-02 21:00:00
6842.71,6867.97,6783.44,6829.53,3455.91,23596081.71,force_direct,,2020-04-02 22:00:00
6794.09,6844.17,6730.11,6842.71,4037.2,27416692.71,force_direct,,2020-04-02 23:00:00
6742.17,6815.0,6730.08,6794.09,3098.13,20974895.32,force_direct,,2020-04-03 00:00:00
6800.37,6809.56,6723.12,6742.17,2154.08,14591856.66,force_direct,,2020-04-03 01:00:00
6811.31,6828.0,6776.33,6800.37,1806.99,12292721.9,force_direct,,2020-04-03 02:00:00
6782.44,6829.61,6775.0,6811.31,2183.93,14852319.0,force_direct,,2020-04-03 03:00:00
6784.6,6800.08,6759.88,6782.44,1496.61,10147166.44,force_direct,,2020-04-03 04:00:00
6778.19,6794.49,6746.16,6784.6,1872.16,12678304.43,force_direct,,2020-04-03 05:00:00
